,Unnamed: 0,id,bedroom,bathroom,building_area,land_area,price,latitude,longitude,log_price
747,4782,824168,4,2,110,132,1450000000,-7.29052489999999,112.6747131,21.094829394068547
748,4796,910490,3,1,110,120,1700000000,-7.3173175,112.7966744,21.253894088596816
749,4804,245422,3,2,110,72,1800000000,-7.3115597,112.751925,21.311052502404085
750,4813,868004,4,4,110,94,1500000000,-7.3233556,112.7602858,21.12873094572124
751,4821,974635,3,2,110,110,1300000000,-7.256626,112.7781217,20.985630102183134
752,4833,811323,4,2,110,192,3200000000,-7.3054424,112.7679492,21.886416647064593
753,4849,145849,3,2,110,110,1900000000,-7.3137569,112.6895371,21.365119723645122
754,4868,38650,3,2,110,110,1500000000,-7.3298359,112.7998858,21.12873094572124
755,4894,128573,3,2,110,52,950000000,-7.2417377,112.7691379,20.671972543611492
756,4898,182691,3,3,111,111,1300000000,-7.2573496,112.7336701,20.985630102183134
757,4905,983936,3,1,112,112,850000000,-7.2451873,112.757286,20.560746908625106
758,4923,973452,3,2,112,156,950000000,-7.2689145,112.7263107,20.671972543611492
759,4930,522101,4,2,112,144,1550000000,-7.2975491,112.758414,21.161520768522728
760,4933,97101,3,2,112,105,1275000000,-7.3227469,112.7830089,20.966212016341114
761,4941,830799,4,2,113,113,1500000000,-7.234383,112.7685139,21.12873094572124
762,4945,414519,3,2,113,63,850000000,-7.2713932,112.7356283,20.560746908625106
763,4963,574233,3,2,114,90,900000000,-7.32063469999999,112.7889731,20.617905322399697
764,4968,932088,4,2,114,313,3800000000,-7.2534502,112.7293342,22.05826690394191
765,5004,57481,4,5,115,220,4500000000,-7.2640793,112.7940923,22.227343233944907
766,5011,319692,3,3,115,96,2500000000,-7.25429259999999,112.7816403,21.639556569220566
767,5023,41465,3,2,115,162,2950000000,-7.3014763,112.6467893,21.80507100763712
768,5026,502920,3,2,115,112,2900000000,-7.2448302,112.6633905,21.787976574283665
769,5039,257295,3,3,115,102,1950000000,-7.3095837,112.7889923,21.391095210034887
770,5049,339268,4,3,115,99,1700000000,-7.2587297,112.7804057,21.253894088596816
771,5064,780349,4,2,115,130,1500000000,-7.2818593,112.7085838,21.12873094572124
772,5084,603220,4,3,115,150,1800000000,-7.31556,112.7950493,21.311052502404085
773,5108,569371,3,2,116,148,1100000000,-7.2681645,112.7436006,20.818576017659826
774,5116,643290,4,3,116,73,3900000000,-7.2836351,112.7558507,22.08424239033842
775,5122,476454,3,2,117,70,1567000000,-7.3220488,112.7738551,21.172428800958457
776,5127,414742,3,3,117,145,2250000000,-7.269317,112.7971564,21.534196053607182
777,5130,663590,2,2,117,132,5750000000,-7.2758045,112.7459557,22.47246569192958
778,5137,847826,3,2,118,180,2200000000,-7.2666484,112.7819814,21.511723197765225
779,5139,251129,4,1,118,118,1100000000,-7.2548564,112.7636782,20.818576017659826
780,5155,946671,4,3,118,210,2550000000,-7.22122019999999,112.7711841,21.659359196508902
781,5172,202746,4,3,120,120,1200000000,-7.2569825,112.7779501,20.905587394573697
782,5184,372712,3,2,120,136,1500000000,-7.3152797,112.7853126,21.12873094572124
783,5187,10229,4,2,120,72,1300000000,-7.255657,112.7694844,20.985630102183134
784,5197,812389,3,3,120,120,1400000000,-7.2559179,112.6286746,21.05973807428191
785,5198,496019,3,3,120,75,1775000000,-7.2877157,112.7777795,21.29706626043717
786,5212,815431,3,1,120,84,950000000,-7.25336049999999,112.7050482,20.671972543611492
787,5216,419839,3,2,120,89,1600000000,-7.3109921,112.8135304,21.193269466817146
788,5219,330936,1,2,120,53,675000000,-7.2352919,112.7426389,20.330223250318284
789,5229,368652,3,2,120,165,3065000000,-7.26074749999999,112.7767423,21.84331340666085
790,5243,386648,3,3,120,60,1250000000,-7.2231235,112.77343,20.94640938906062
791,5249,28435,4,3,120,90,1700000000,-7.3157062,112.684886,21.253894088596816
792,5276,935354,3,2,120,216,2000000000,-7.2623434,112.6869153,21.416413018006356
793,5277,400320,3,2,120,184,2500000000,-7.268923,112.6934576,21.639556569220566
794,5287,944349,3,3,120,200,2350000000,-7.2646471,112.7940639,21.57768116552801
795,5290,451333,3,4,120,98,1718000000,-7.3151654,112.7229014,21.264426661090546
796,5291,251935,3,1,120,120,970000000,-7.2566865,112.6591675,20.69280663049263
797,5295,734391,3,3,120,84,1450000000,-7.2499935,112.7283341,21.094829394068547
798,5298,524674,3,1,120,135,1600000000,-7.313571,112.6820198,21.193269466817146
799,5303,688776,3,3,120,72,1500000000,-7.312874,112.6908422,21.12873094572124
800,5306,161744,3,3,120,100,1800000000,-7.239338,112.782292,21.311052502404085
801,5313,369818,4,3,120,70,1650000000,-7.2977805,112.7810411,21.22404112546496
